PLAYER_ID, PLAYER_NAME, TEAM_ID, TEAM_ABBREVIATION, AGE, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FGA, OPP_FG_PCT, OPP_FGM, OPP_FG_PCT
201985, AJ Price, 1610612754, IND, 25.0, 3.9, 6.5, 0.594, 0.8, 2.0, 0.407, 0.8, 2.0, 0.42, 1.4, 3.9, 0.361, 1.3, 3.4, 0.388, 0.9, 2.8, 0.324, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
201189, Aaron Gray, 1610612761, TOR, 27.0, 5.6, 9.1, 0.612, 1.2, 3.1, 0.392, 1.0, 2.3, 0.435, 2.6, 5.6, 0.467, 1.8, 5.0, 0.349, 0.8, 2.0, 0.406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1733, Al Harrington, 1610612743, DEN, 32.0, 9.4, 15.7, 0.596, 1.4, 3.9, 0.363, 1.0, 3.2, 0.327, 3.2, 8.0, 0.397, 4.3, 10.5, 0.409, 1.9, 5.5, 0.347, 0.1, 0.3, 0.4, 0.1, 0.4, 0.2, 0.0, 0.0
201143, Al Horford, 1610612737, ATL, 26.0, 10.8, 18.5, 0.586, 1.1, 4.3, 0.255, 1.2, 3.6, 0.325, 3.9, 10.6, 0.368, 3.9, 10.0, 0.39, 2.1, 4.9, 0.426, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2744, Al Jefferson, 1610612762, UTA, 27.0, 12.3, 21.0, 0.585, 2.0, 6.2, 0.332, 1.8, 4.2, 0.419, 3.5, 8.5, 0.416, 4.5, 11.8, 0.383, 1.3, 4.4, 0.301, 0.0, 0.2, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0
202329, Al-Farouq Aminu, 1610612740, NOH, 21.0, 7.2, 12.2, 0.589, 1.5, 3.6, 0.409, 0.7, 2.3, 0.31, 2.2, 5.8, 0.381, 2.3, 7.2, 0.326, 1.4, 4.7, 0.306, 0.1, 0.2, 0.25, 0.0, 0.2, 0.0, 0.0, 0.0
101187, Alan Anderson, 1610612761, TOR, 29.0, 9.6, 16.8, 0.57, 1.5, 3.9, 0.388, 1.0, 3.1, 0.321, 3.5, 8.9, 0.395, 2.5, 7.8, 0.318, 0.9, 3.0, 0.294, 0.0, 0.3, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0
202692, Alec Burks, 1610612762, UTA, 20.0, 5.8, 10.2, 0.57, 0.8, 2.5, 0.313, 0.7, 1.7, 0.388, 1.4, 3.4, 0.41, 2.4, 6.3, 0.385, 0.8, 2.4, 0.31, 0.0, 0.1, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0
202087, Alonzo Gee, 1610612739, CLE, 25.0, 11.0, 17.8, 0.618, 2.4, 5.7, 0.419, 1.7, 4.2, 0.392, 3.2, 8.4, 0.375, 3.1, 8.9, 0.35, 1.5, 4.5, 0.323, 0.1, 0.2, 0.333, 0.0, 0.1, 0.0, 0.0, 0.0
2405, Amar'e Stoudemire, 1610612752, NYK, 29.0, 11.7, 20.4, 0.576, 1.9, 5.1, 0.378, 2.0, 4.6, 0.44, 3.4, 9.1, 0.37, 4.1, 10.3, 0.401, 1.6, 4.9, 0.336, 0.1, 0.2, 0.333, 0.0, 0.0, 0.0, 0.0, 0.25
